built_at,meeting_key,race_key,runner_key,source,race_date,day_bucket,meeting_type,meeting_status,dashboard_ready,track,race_no,race_time,minutes_to_jump,race_state,distance,race_class,track_condition,rail_position,horse_no,saddlecloth,horse,horse_key,barrier,jockey,trainer,silkUrl,silk_url,local_silk_path,is_scratched,scratch_status,runner_status,ui_price,sportsbet_price,live_price,market_price,fixed_win,rated_price,ui_fair_price,edge_pct,ui_edge_pct,truth_grade,market_confidence,liquidity_grade,fake_overlay_flag,late_drift_risk,execution_trust_score,suppression_action,suppression_reason,clv_expectation,open_price,mid_price,close_price,flucs,last10,last_10,speed_map_bucket,map_position,run_style,pace_profile,settling_band,map_x_pct,map_y_px
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_NEARINGLIBERTY,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,2,2,Nearing Liberty,NEARINGLIBERTY,8,B.R.Kinninmont,M.Brown,https://cdn.silks.racing.com/bb/136781.png,https://cdn.silks.racing.com/bb/136781.png,https://cdn.silks.racing.com/bb/136781.png,,ACTIVE,ACTIVE,6.5,6.5,6.5,6.5,6.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_YAMATOSATONA,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,3,3,Yamato Satona,YAMATOSATONA,1,L.J.Neindorf,P.J.Stokes,https://cdn.silks.racing.com/bb/210646.png,https://cdn.silks.racing.com/bb/210646.png,https://cdn.silks.racing.com/bb/210646.png,,ACTIVE,ACTIVE,7.1,7.1,7.1,7.1,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_ZORROSFLIGHT,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,4,4,Zorro's Flight,ZORROSFLIGHT,10,J.Noonan,P.B.Payne,https://cdn.silks.racing.com/bb/37237.png,https://cdn.silks.racing.com/bb/37237.png,https://cdn.silks.racing.com/bb/37237.png,,ACTIVE,ACTIVE,2.85,2.85,2.85,2.85,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_ASEVENTYSEVEN,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,5,5,Aseventy Seven,ASEVENTYSEVEN,6,J.McNeil,Emma-Lee & David Browne,https://cdn.silks.racing.com/bb/10056.png,https://cdn.silks.racing.com/bb/10056.png,https://cdn.silks.racing.com/bb/10056.png,,ACTIVE,ACTIVE,28.9,28.9,28.9,28.9,28.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_CEREMONIOUS,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,6,6,Ceremonious,CEREMONIOUS,9,T.M.Nugent,Leon & Troy Corstens & Will Larkin,https://cdn.silks.racing.com/bb/205601.png,https://cdn.silks.racing.com/bb/205601.png,https://cdn.silks.racing.com/bb/205601.png,,ACTIVE,ACTIVE,16,16,16,16,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_ENCHANTEDJENNI,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,7,7,Enchanted Jenni,ENCHANTEDJENNI,2,T.Stockdale,L.M.Kennewell,https://cdn.silks.racing.com/bb/183160.png,https://cdn.silks.racing.com/bb/183160.png,https://cdn.silks.racing.com/bb/183160.png,,ACTIVE,ACTIVE,13,13,13,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_CHAMPAGNEJENNI,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,8,8,Champagne Jenni,CHAMPAGNEJENNI,7,J.Mott,S.Jackson,https://cdn.silks.racing.com/bb/183160.png,https://cdn.silks.racing.com/bb/183160.png,https://cdn.silks.racing.com/bb/183160.png,,ACTIVE,ACTIVE,9.5,9.5,9.5,9.5,9.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_KOROBEINIKI,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,9,9,Korobeiniki,KOROBEINIKI,4,C.Hefel,N.J.Harnett,https://cdn.silks.racing.com/bb/1892.png,https://cdn.silks.racing.com/bb/1892.png,https://cdn.silks.racing.com/bb/1892.png,,ACTIVE,ACTIVE,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R7,2026-07-26_SALE_R7_SHUBAEL,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,7,,,TIME_TBC,1600m,BM 64,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 66. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,10,10,Shubael,SHUBAEL,5,D.Keane,M.J.Leek,https://cdn.silks.racing.com/bb/2286.png,https://cdn.silks.racing.com/bb/2286.png,https://cdn.silks.racing.com/bb/2286.png,,ACTIVE,ACTIVE,61,61,61,61,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
2026-07-26T13:33:21+10:00,2026-07-26_SALE,2026-07-26_SALE_R8,2026-07-26_SALE_R8_ALLBUSINESS,race_fields.csv,2026-07-26,TODAY,COUNTRY,FIELDS_READY,YES,SALE,8,,,TIME_TBC,1400m,BM 58,"Handicap. Two-Years-Old and Upwards, No sex restriction. BenchMark 62. Apprentices can claim. Track name: Main. Track type: Turf. Field limit: 14.",,1,1,All Business,ALLBUSINESS,13,S.R.Hateley,Leon & Troy Corstens & Will Larkin,https://cdn.silks.racing.com/bb/158419.png,https://cdn.silks.racing.com/bb/158419.png,https://cdn.silks.racing.com/bb/158419.png,,ACTIVE,ACTIVE,8.5,8.5,8.5,8.5,8.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
