canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,early_lengths_vs_standard,mid_lengths_vs_standard,late_lengths_vs_standard,final_segment_lengths_vs_standard,best_segment_lengths_vs_standard,worst_segment_lengths_vs_standard,matched_segment_count,eligible_segment_count,calculated_segment_count,coverage_status,coverage_reason
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15713423,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15714009,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15715052,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15716867,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718048,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718050,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718174,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15719488,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720034,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720319,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720532,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720552,2026-07-20,Southside Pakenham Synthetic,7,1400,,,,,,,7,7,0,LENGTH_CONVERSION_SCOPE_BLOCKED,UNSUPPORTED_SURFACE
