race_key,runner_key,race_date,track,race_number,runner_id,saddle_number,horse_name,split_sequence,split_label,split_start_distance_metres,split_end_distance_metres,split_distance_metres,segment_time_seconds,position_at_split_end,average_speed_source,source_page_url,source_payload_file,semantic_version,split_coverage_type,split_window_start_marker_metres,split_window_finish_marker_metres,split_window_distance_metres,full_race_split_coverage
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),5,400m-200m,400,200,200,12.5,10,16.49,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15637820,2026-05-30,Caulfield,9,15637820,11,Supernima (NZ),6,200m-FINISH,200,0,200,13.06,8,15.39,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,1,1200m-1000m,1200,1000,200,14.35,9,16.93,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,2,1000m-800m,1000,800,200,10.99,8,18.18,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,3,800m-600m,800,600,200,11.14,8,17.96,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,4,600m-400m,600,400,200,12.27,9,17.49,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,5,400m-200m,400,200,200,12.42,8,16.7,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633028,2026-05-30,Caulfield,9,15633028,12,Apache Song,6,200m-FINISH,200,0,200,12.93,5,15.47,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,1,1200m-1000m,1200,1000,200,14.47,10,16.65,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
2026-05-30|CAULFIELD|R09,2026-05-30|CAULFIELD|R09|RUNNER:15633824,2026-05-30,Caulfield,9,15633824,15,Piastri,2,1000m-800m,1000,800,200,11.16,10,17.95,https://www.racing.com/form/2026-05-30/caulfield/race/9/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_bea0fbe9f6d6d11837.json,RACINGCOM_SPEED_SEMANTICS_V1_1,FULL_RACE,1200,0,1200,true
