workspace_id,meeting_key,race_key,generated_at,race_date,track,race_no,no,horse,epi,market,open,high,low,move,edgeiq_price,edge,status,source,source_timestamp,source_confidence,row_status,market_availability_status,market_source_status,market_observed_at,market_generated_at,market_age_minutes,market_freshness_status,market_is_live
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,13,I Am Velvet,64.30,13.90,,,,,13.38,+3.9%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,14,He's Beset,30.82,,,,,,495.93,,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-22T03:11:46Z,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,15,Keane Enuff,72.98,78.80,,,,,9.99,+688.8%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,16,Barking Mad,53.61,16.00,,,,,21.55,-25.8%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,17,Camp Cable,64.86,79.20,,,,,13.11,+504.1%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,18,Stay Humble,84.35,26.00,,,,,7.36,+253.3%,Scratched,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,scratched,SCRATCHED,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,CATALOG_STATUS,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R2,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,2,19,Touxlove,62.73,35.00,,,,,14.21,+146.3%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,1,Smokin' Romans,11.68,7.50,,,,,66.91,-88.8%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,2,Brayden Star,39.88,21.00,,,,,13.77,+52.5%,Governed Price Context,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
BETA-010,2026-08-22|SANDOWN,2026-08-22|SANDOWN|R3,2026-08-22T03:11:46Z,2026-08-22,Sandown Hillside,3,3,Chief Little Rock,,79.30,,,,,,,EDGEiQ Price Pending,LADBROKES_CANONICAL_MARKET_V1,2026-08-21T22:14:54+00:00,governed,current,MARKET_UNAVAILABLE,LADBROKES_CANONICAL,,2026-08-22T03:11:46Z,,NO_PROVIDER_MATCH,false
