raceDate,meeting,raceNumber,runnerNumber,runnerName,rating,epi,marketPrice,edgeiqPrice,earlySpeed,suitability,raceShape,lateSpeed,formMomentum,preparationProfile,sectionalRunMatches,benchmarkRunMatches
2026-08-22,Sandown Hillside,6,17,All Pink,,20.7,59.6,2136.52,59.0,47.0,PRESSURE_RISK,28.7,-3.2,YES,7,7
2026-08-22,Sandown Hillside,7,1,Hedged,,67.35,7.2,6.89,57.4,58.4,CLOSING_SETUP,50.6,-3.6,YES,19,19
2026-08-22,Sandown Hillside,7,2,Ole Dancer,,42.725,8.1,549.05,56.2,,,60.1,,YES,5,5
2026-08-22,Sandown Hillside,7,3,Klabel,,44.25,52.8,157.24,57.2,57.5,CLOSING_SETUP,41.9,0.9,YES,8,8
2026-08-22,Sandown Hillside,7,4,Losesomewinmore,,51.75,9.0,24.44,55.1,59.7,CLOSING_SETUP,56.0,0.7,YES,10,10
2026-08-22,Sandown Hillside,7,5,Beast Mode,,53.875,6.0,18.86,60.0,63.9,PRESSURE_RISK,42.2,-0.5,YES,17,17
2026-08-22,Sandown Hillside,7,6,Along The River,,82.84,41.0,3.64,59.7,,,47.8,,YES,42,42
2026-08-22,Sandown Hillside,7,7,Cavalry Girl,,74.18,2.6,5.0,59.5,58.3,NEUTRAL,44.9,-2.7,YES,13,13
2026-08-22,Sandown Hillside,7,8,Stokke,,56.875,26.0,14.0,59.9,63.5,PRESSURE_RISK,49.6,-1.0,YES,11,11
2026-08-22,Sandown Hillside,7,9,Extragalactic,,65.2,7.7,7.75,58.5,,,56.8,,YES,5,5
2026-08-22,Sandown Hillside,7,10,Bazaball Rewarded,,53.875,17.2,18.86,59.6,69.0,NEUTRAL,52.5,-4.9,YES,18,18
2026-08-22,Sandown Hillside,7,11,Signature Scent,,48.55,7.3,41.07,57.4,56.1,CLOSING_SETUP,43.6,-5.2,YES,6,6
2026-08-22,Sandown Hillside,8,1,Carbonados,,51.74,15.0,10.79,56.7,54.4,CLOSING_SETUP,45.5,-4.1,YES,16,16
2026-08-22,Sandown Hillside,8,2,Tennessee Bound,,54.25,2.9,9.68,59.5,67.7,PRESSURE_RISK,62.8,-1.0,YES,5,5
2026-08-22,Sandown Hillside,8,3,Elouyou,,48.5,11.0,12.58,57.2,,,45.0,,YES,17,17
2026-08-22,Sandown Hillside,8,4,Piastri,,44.125,11.0,16.0,58.7,57.2,NEUTRAL,48.5,-2.3,YES,12,12
2026-08-22,Sandown Hillside,8,5,Betwitchery,,54.275,19.0,9.67,58.4,,,41.3,,YES,18,18
2026-08-22,Sandown Hillside,8,6,Moby Dick,,48.75,7.3,12.43,56.2,57.7,CLOSING_SETUP,49.9,1.3,YES,25,25
2026-08-22,Sandown Hillside,8,7,Gold Coast Belle,,90.27,3.0,3.54,57.0,57.0,CLOSING_SETUP,46.2,2.4,YES,10,10
2026-08-22,Sandown Hillside,8,8,Rhapsody Chic,,22.65,28.7,1068.6,56.7,66.8,CLOSING_SETUP,48.7,-0.3,YES,11,11
2026-08-22,Sandown Hillside,8,9,Romantic Encounter,,49.075,13.0,12.23,58.8,60.1,PRESSURE_RISK,36.9,-2.7,YES,16,16
2026-08-22,Sandown Hillside,8,10,Victorious Spirit,,56.575,9.0,8.82,58.3,,,50.8,,YES,5,5
2026-08-22,Sandown Hillside,9,1,The Pendragon,,56.4,31.8,11.71,58.0,,,40.7,,YES,6,6
2026-08-22,Sandown Hillside,9,2,Unbelievable,,,16.0,,,,,,,,0,0
2026-08-22,Sandown Hillside,9,3,New York Hurricane,,76.56,61.0,7.8,57.0,,,32.2,,YES,39,39
2026-08-22,Sandown Hillside,9,4,Ziryab,,63.7625,57.1,9.95,57.7,51.2,MAP_ADVANTAGE,38.2,-2.3,YES,16,16
2026-08-22,Sandown Hillside,9,5,Makdane,,70.0,11.9,8.78,56.4,61.3,CLOSING_SETUP,44.2,-3.5,YES,20,20
2026-08-22,Sandown Hillside,9,6,Farhh Flung,,64.55,21.0,9.78,56.8,,,51.1,,YES,42,42
2026-08-22,Sandown Hillside,9,7,Mukhtalif,,9.675,6.2,113.4,58.1,51.1,MAP_ADVANTAGE,28.6,1.9,YES,3,3
2026-08-22,Sandown Hillside,9,8,Somewhere,,12.8125,8.5,80.09,56.9,54.2,NEUTRAL,38.2,-4.6,YES,10,10
2026-08-22,Sandown Hillside,9,9,Stay Silent,,70.25,14.0,8.74,56.6,55.5,CLOSING_SETUP,44.8,-1.2,YES,17,17
2026-08-22,Sandown Hillside,9,10,Dictionary,,45.16,75.6,15.71,56.4,53.2,CLOSING_SETUP,45.0,-3.7,YES,33,33
2026-08-22,Sandown Hillside,9,11,Furious,,31.6,10.7,25.12,56.2,58.6,CLOSING_SETUP,50.2,0.9,YES,8,8
2026-08-22,Sandown Hillside,9,12,Supernima,,27.5,9.0,30.12,58.3,53.1,MAP_ADVANTAGE,46.6,2.3,YES,20,20
2026-08-22,Sandown Hillside,9,13,Currawood,,,71.0,,,,,,,YES,1,1
2026-08-22,Sandown Hillside,9,14,Just Too Fly,,43.75,13.4,16.38,,,,,,YES,0,0
2026-08-22,Sandown Hillside,9,15,Lovelycut,,0.0,10.6,2772.85,57.0,57.2,NEUTRAL,48.6,-2.6,YES,14,14
2026-08-22,Sandown Hillside,9,16,Elsie May,,13.45,69.2,75.35,55.7,,,47.0,,YES,20,20
2026-08-22,Sandown Hillside,9,17,Castle On High,,0.0,19.0,2772.85,57.2,62.1,NEUTRAL,45.4,-4.2,YES,13,13
2026-08-22,Sandown Hillside,9,18,Male Model,,73.9,23.7,8.17,55.0,53.1,CLOSING_SETUP,51.0,-1.4,YES,22,22
2026-08-23,Wangaratta,1,1,All Too Swift,,50.2,51.0,9.39,,48.4,,,4.0,YES,2,2
2026-08-23,Wangaratta,1,2,Churchill Lane,,76.44,17.0,5.37,57.49,50.3,MAP_ADVANTAGE,56.66,-3.3,YES,9,9
2026-08-23,Wangaratta,1,3,Determinato,,48.9,3.8,9.72,55.8,58.5,NEUTRAL,60.4,-2.1,YES,8,8
2026-08-23,Wangaratta,1,4,King Kauffo,,34.79,23.0,15.23,,51.0,,,-1.1,YES,9,9
2026-08-23,Wangaratta,1,5,Masakari,,54.35,4.4,8.45,,58.0,,,4.2,YES,3,3
2026-08-23,Wangaratta,1,6,Prestige Zerprise,,46.67,4.2,10.34,57.7,55.1,MAP_ADVANTAGE,58.1,0.8,YES,4,4
2026-08-23,Wangaratta,1,7,Unoyaself,,49.2875,4.0,9.62,,,,,,YES,1,1
2026-08-23,Wangaratta,1,8,Ive Got The Power,,0.0,61.0,1906.54,55.2,50.2,NEUTRAL,33.3,0.5,YES,12,12
2026-08-23,Wangaratta,1,9,Misil Beauty,,,26.0,,,47.2,,,5.1,YES,1,1
2026-08-23,Wangaratta,1,10,Pride Of Mandy,,54.98,6.0,8.33,56.4,,,46.5,,YES,5,5
2026-08-23,Wangaratta,1,11,Sharp Remark,,,14.0,,,,,,,,0,0
2026-08-23,Wangaratta,1,12,Shes A Good Cause,,6.05,51.0,136.52,56.12,55.4,NEUTRAL,56.12,-0.0,YES,3,3
