source_type,race_id,race_date,track,track_key,race_no,race_no_numeric,horse_id,horse,saddle_number,trainer,jockey,final_position,final_position_abbreviation,comment,barrier_number,start_position,race_time,beaten_margin,distance_run,time_var_to_winner,distance_var_to_winner,six_hundred_metres_time,two_hundred_metres_time,row_type,distance_label,position,time,avg_speed_mps,avg_speed_kmh,response_path,response_sha256,parsed_utc
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SECTIONAL,FINISH,2,1:22.87,17.59,63.324,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,1400m-1200m,11,14.77,13.7,49.32,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,1200m-1000m,11,11.28,17.72,63.792,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,1000m-800m,11,11.43,17.5,63,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,800m-600m,11,11.55,17.12,61.632,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,600m-400m,10,11.46,17.53,63.108,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,400m-200m,3,10.88,18.43,66.348,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15714130,Blondeau,4,N.E.Shelton,B.R.Kinninmont,2,2nd,Bit Slow Out Settled Down Off Mid-Field Inside 8 Lengths still Mile Back Turn ran on strongly when Clear Margin Unfair # solid from back,1,0,1:22.87,2.75,1406,43,+2,33.83,11.49,SPLIT,200m-FINISH,2,11.49,17.59,63.324,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720214,Military Base,13,Peter G Moody & Katherine Coleman,L.Nolen,3,3rd,Jumped Ok Restrained got in 5th With Trail 4 Lengths behind a wall Turn Kept Going Ok when Clear # Margin Unfair,10,0,1:23.08,4.25,1408,64,+3,34.38,11.50,SECTIONAL,1200m,4,1:08.93,14.34,51.624,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720214,Military Base,13,Peter G Moody & Katherine Coleman,L.Nolen,3,3rd,Jumped Ok Restrained got in 5th With Trail 4 Lengths behind a wall Turn Kept Going Ok when Clear # Margin Unfair,10,0,1:23.08,4.25,1408,64,+3,34.38,11.50,SECTIONAL,1000m,4,57.85,18.06,65.016,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
RACINGCOM_GRAPHQL_GETRACEFORM,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,2026-07-20,Southside Pakenham Synthetic,SOUTHSIDEPAKENHAMSYNTHETIC,6,6,15720214,Military Base,13,Peter G Moody & Katherine Coleman,L.Nolen,3,3rd,Jumped Ok Restrained got in 5th With Trail 4 Lengths behind a wall Turn Kept Going Ok when Clear # Margin Unfair,10,0,1:23.08,4.25,1408,64,+3,34.38,11.50,SECTIONAL,800m,5,46.19,17.22,61.992,outputs\performance-intelligence\racingcom-ingestion-v2\raw\graphql-acquisition\2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6_916ba2bcb45c3fe0.json,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,2026-07-22T19:21:35+00:00
