benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_start_metres,segment_end_metres,segment_distance_metres,elapsed_time_seconds,average_speed_mps,eligibility_status,source_format,source_hash,standard_time_eligibility_status
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.5349,13.760000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.2349,14.050000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.3164,13.970000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.0449,14.240000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,13.8313,14.460000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.7710,13.540000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15719841,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,13.9567,14.330000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720036,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,13.8889,14.400000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15701920,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,13.7363,14.560000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720034,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.3164,13.970000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718048,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.1044,14.180000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15713423,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.8038,13.510000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15715052,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.2959,13.990000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15719488,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.3781,13.910000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15714009,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.1044,14.180000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720552,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.1743,14.110000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720532,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.7275,13.580000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15716867,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.6735,13.630000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718050,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.6628,13.640000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720319,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.1443,14.140000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718174,2026-07-20,Southside Pakenham Synthetic,7,1400,1400,1200,200,14.6199,13.680000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,6f7b0cc3ec24408d6348e84adacffe0c29abba37a5d23ca0de325da361247733,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.2045,17.850000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714130,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.3701,17.590000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720214,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.5340,17.340000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.5141,17.370000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.7925,16.960000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.7371,17.040000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.6754,17.130000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15714008,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.9760,16.700000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15713342,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.7440,17.030000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba,STANDARD_TIME_ELIGIBLE
