canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,canonical_surface_group,speed_phase,lengths_vs_standard,coverage_status,source_feed,method_version
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720318,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,2.313600,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,AUSTRALIAN_SYNTHETIC,LATE,0.886200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15713423,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,0.959400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15714009,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-1.104600,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15715052,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,0.037200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15716867,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,0.372000,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718048,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.681600,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718050,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.339000,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15718174,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.037800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15719488,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,0.074400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720034,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-0.037800,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720319,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-1.690200,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720532,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,0.740400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R7,15720552,2026-07-20,Southside Pakenham Synthetic,7,1400,AUSTRALIAN_SYNTHETIC,LATE,-1.808400,CALCULATED,edgeiq_runner_sectional_performance_v2.csv,EDGEIQ_SURFACE_AWARE_LENGTHS_PER_SECOND_V2
