current_canonical_runner_id,current_canonical_horse_name,historical_canonical_horse_id,historical_canonical_horse_name,identity_resolution_method,identity_resolution_status,identity_resolution_reason_code,historical_name_collision_count,identity_builder_version,identity_method_version,identity_bridge_evidence_sha256
RCOM_HORSE_5306095,Samangu,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,5e1a8a2b907e043c58d72610670224de0a7aa76c6bdeaf5c0f8a1725b634f8e7
RCOM_HORSE_5306215,Happy Link,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,c47b429ac95df07616e41d20e3efb1889138f8ade64b7ad888562aac6df2967e
RCOM_HORSE_5307187,Takeko,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,899a598ba4529b79bac260ef1de0ecc87d9c999cfe2ea06789a4a13fd8a4dcac
RCOM_HORSE_5308657,Apache Song,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,a487202e65e0c3671fcf139ecf44eecdb3e21a69742a85dbf76a1174e6809364
RCOM_HORSE_5308967,Detonator Jack,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,158bfeaebfda76ebeb3f7a21b8eb410b92b4823e78e8a1ef079eefc20ecf90a3
RCOM_HORSE_5309013,Title Fighter,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,64fd53a66a09cb8f7cd69797f9e8a30e18f447f387a43343f42930f7a7542213
RCOM_HORSE_5309341,Redemption Time,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,c9de1fd343a1fdca784b7742138da34bf3f40fdc67b5d09cbebcc41fadccf557
RCOM_HORSE_5309649,Crimson Vine,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,38ed76c339b4c449c8ecedb530f07a9187519c9856843bb3077a6bb735f7feee
RCOM_HORSE_5309932,Makdane,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,22d4002c686bccf380c1d02776c8adc4339d0f23ba332154e65bef6a0886a272
RCOM_HORSE_5311051,Tuff Tu Mus,,,,IDENTITY_UNRESOLVED,NO_CANONICAL_ID_OR_EXACT_NAME_MATCH,0,EDGEIQ_CURRENT_HISTORICAL_HORSE_IDENTITY_BRIDGE_V2,CANONICAL_ID_THEN_EXACT_UNIQUE_NORMALISED_NAME_V1,a411256754eb8bf98cd4c03dbec702710ab5ee5ceae4c6b8494aeba51a9c8140
