benchmark_group_id,canonical_race_id,canonical_runner_id,race_date,track,race_number,race_distance_metres,segment_start_metres,segment_end_metres,segment_distance_metres,elapsed_time_seconds,average_speed_mps,eligibility_status,source_format,source_hash
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720047,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.5141,17.370000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.2349,14.050000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,1200,1000,200,10.9769,18.220000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,1000,800,200,11.4679,17.440000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,800,600,200,11.4025,17.540000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,600,400,200,11.2994,17.700000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,400,200,200,11.1421,17.950000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15716866,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.7925,16.960000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.3164,13.970000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,1200,1000,200,11.1919,17.870000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-0C8C5AABDB549002,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,1000,800,200,11.4548,17.460000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-8C718767F48E1B2E,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,800,600,200,11.4877,17.410000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-EE87E5B9F489EF89,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,600,400,200,11.1173,17.990000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-E5BBA83D27F6BACC,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,400,200,200,11.0254,18.140000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-5FB9078FAE4AED97,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15720320,2026-07-20,Southside Pakenham Synthetic,6,1400,200,0,200,11.7371,17.040000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-41BE498454A5E3BB,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,1400,1200,200,14.0449,14.240000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
RSTG1-66E610991D333736,2026-07-20_SOUTHSIDEPAKENHAMSYNTHETIC_R6,15717705,2026-07-20,Southside Pakenham Synthetic,6,1400,1200,1000,200,11.0988,18.020000,ELIGIBLE,RACING.COM_GRAPHQL_GETRACEFORM,916ba2bcb45c3fe0786e774f4d32d37bc149c67134684bdf69b5f2976e5325ba
