operation_run_id,source_name,source_file,source_row_number,source_observed_at,source_evidence_sha256,raw_payload_sha256,raw_status
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,24,2026-07-30T04:23:22Z,a4deb69dfa044a0ce0120e42254df3b0783f9fa5753abe9f61a92e1d1615bc4b,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,25,2026-07-30T04:23:22Z,aad7138800139e3f790def63a3ffbc0e98061d3afba7a3fe946fdc0a0c6d67ef,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,26,2026-07-30T04:23:22Z,5a8e04cfdee5ec94d1f49fa19d26882712a6f12a8882db42c782a2207e0c5c34,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,27,2026-07-30T04:23:22Z,eac7f1fbdda341c9014dc9279d4906c44ef16c44cff9e7c9029fb1fca7fc3847,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,28,2026-07-30T04:23:22Z,841aaf3678b39bf9835f19b1dea285a1dbd16005fb28ee8efa1c6960e3666a3e,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,29,2026-07-30T04:23:22Z,dfc411531c0a5479a2fc597da2fa8af1cdc5debdc9ec24bcdada79d98a2ede69,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,30,2026-07-30T04:23:22Z,a33cedeedb2ef5a9feec81da4d2ec9c185587008f3ab03255e6ea4ae159ab701,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,31,2026-07-30T04:23:22Z,b38cf58ed4bbb7148ec1e6ab0bfc5ae6dffa5b3c8400037b831ffa565fb090d8,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,32,2026-07-30T04:23:22Z,0e090c90f2d332b4ab7892d4d2b3ecd385420bdf5bedd16914bbc2a233eec07d,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,33,2026-07-30T04:23:22Z,7c929dd13f35882949cf0a9c9e35de33e692aaabad357b42510ab92e7c8bb468,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,34,2026-07-30T04:23:22Z,c576f5ad6bf9292ff60d4fec2f1c2e2daa77d8aafba558b1a7d51b5dd05a8161,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,35,2026-07-30T04:23:22Z,940c33640bc54363670ec6794ae3b54a094b4165628468f55c10bc355f1b1101,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,36,2026-07-30T04:23:22Z,b2f0a23b5c002a29931d265eb20ae4d7e7950d49bab114183de19d9f69c46e7e,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,37,2026-07-30T04:23:22Z,67f6f5fa7e44b2edd715664f15a4abcb5c205b7bea7380416a8b5e23e884aa2c,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,38,2026-07-30T04:23:22Z,b4a64700148b37d2c241c09e3f680f478617cbf887fd7a4397c189790dfec5ca,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,39,2026-07-30T04:23:22Z,27b703d6d5d3943f8796342d8350e4b9b9cee167579bedbf853ba6be10426c06,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,40,2026-07-30T04:23:22Z,add69dced09d93bebf3b3d97127ceff534c532d599238f52625e118f39337ca0,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,41,2026-07-30T04:23:22Z,752fb1038d7e752105dda2e9948c7a53c7103c8c911d82a70725b5790929c77a,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,42,2026-07-30T04:23:22Z,a3a91f50d60f97c64ac369bbe1d1c6e9189147b9083e58e3619d6247bd573bfd,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
VICLIVEV3-4AD06ABCBFE7,RACING_AUSTRALIA_PUBLIC_RESULTS_HTML,docs/victoria-live-recovery-v3/raw-evidence/RA_RESULTS_2026-07-26_SALE_598617F0.html,43,2026-07-30T04:23:22Z,6a6bb2f87613592ed3dc6cb268973d89d1576a89fb69a131cb911d771bf963b0,cdebf508e5555d5ae7eeb253ceae9d2ee1dbcd12b7a993d310f01311f717f4f0,RAW_CAPTURED
