source_horse_name,canonical_horse_id,canonical_horse_name,identity_status,evidence_reference,evidence_sha256
15718174,RCOM_HORSE_5340095,Nostro Roccia,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15718174,9c3c58ac9f6e282b59e0a2b4d3d3c9c8122ea4bf0f389b9d4ccd7283c2105069
15719488,RCOM_HORSE_5253234,Lulu Darling,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15719488,9ebcd882db7e8e9f0dea46d9a78c8b409c920935970730e0448576d27518a5c3
15719841,RCOM_HORSE_5340487,Clansman,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15719841,153e98e8a0d00f4ab6d009c64c648863a2408b4329fe6907437516529457dc25
15720034,RCOM_HORSE_5327949,Paramount Plus,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720034,3805c6263daf2c9932d68d71842449d8a67f70923e939dae2a39975ba0521159
15720036,RCOM_HORSE_5344244,King Maywin,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720036,bd1ede4519541086b9d57d6b0ede3ef2e771c2f5b34bce9f5ef25f7e0a44902b
15720047,RCOM_HORSE_5303211,The Negotiator,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720047,5240362aeb29c172942677fa50de3c9f4f43fbccf26e43afe64cd6a4f78b4963
15720214,RCOM_HORSE_5352352,Military Base,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720214,18fc831f12ecd83827fff8c5a0eddd769df19005656f8bb032259fd5299fd4f8
15720318,RCOM_HORSE_5358640,Savannah Chill,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720318,00f894cdfc41c225829b9efb22562a39dee18de3462cafa67b07928a63a867f0
15720319,RCOM_HORSE_5348731,Bella Pietra,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720319,40bf0f53b95b69c7894b502e47f159130ae2b7e4d3c9938bc04920f415c94585
15720320,RCOM_HORSE_5348428,Impending War,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720320,8aff357994ed0a77da8abd64476b6f4916ff7824b27172b86378fd2c3a9c861d
15720532,RCOM_HORSE_5352878,Baltic Blizzard,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720532,2a87fe9a6df051b92f16abb3c4f2ad6b69d74566fd68e97ddd9d521cab0d54cd
15720552,RCOM_HORSE_5318108,Shooter Mcgavin,APPROVED,C:/Users/trent/OneDrive/Documents/EDGEIQ_PLATFORM/outputs/performance-intelligence/racingcom-source-discovery/raw/network-capture/net_1eacaaf039_0098_59a322bec18810f3.json#runner_id=15720552,1377f4ddb4936446eb334f176809204858558abed1df7e731f695ff32a65e863
