source_provider,source_endpoint,source_race_id,race_key,meeting_date,venue,race_number,race_distance_metres,has_sectionals,has_results,source_page_url,source_payload_file,provenance_status
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R02,2026-05-30|PICKLEBET PARK WERRIBEE|R02,2026-05-30,Picklebet Park Werribee,2,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/2/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_b31adc034787faa299.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R03,2026-05-30|PICKLEBET PARK WERRIBEE|R03,2026-05-30,Picklebet Park Werribee,3,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/3/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_0f962e357c3162e221.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R04,2026-05-30|PICKLEBET PARK WERRIBEE|R04,2026-05-30,Picklebet Park Werribee,4,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/4/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d745572f3364b807ce.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R05,2026-05-30|PICKLEBET PARK WERRIBEE|R05,2026-05-30,Picklebet Park Werribee,5,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/5/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_5251fa0ddd95c1ae00.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R06,2026-05-30|PICKLEBET PARK WERRIBEE|R06,2026-05-30,Picklebet Park Werribee,6,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/6/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_0a10e65281a7805c36.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-30|PICKLEBET PARK WERRIBEE|R07,2026-05-30|PICKLEBET PARK WERRIBEE|R07,2026-05-30,Picklebet Park Werribee,7,,YES,YES,https://www.racing.com/form/2026-05-30/picklebet-park-werribee/race/7/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_d9ba44db224d49a3da.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R03,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R03,2026-05-31,Sportsbet Sandown Lakeside,3,,YES,YES,https://www.racing.com/form/2026-05-31/sportsbet-sandown-lakeside/race/3/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_f14f5f66d2202a1aa3.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R05,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R05,2026-05-31,Sportsbet Sandown Lakeside,5,,YES,YES,https://www.racing.com/form/2026-05-31/sportsbet-sandown-lakeside/race/5/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_0a181cec92f35ee683.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R06,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R06,2026-05-31,Sportsbet Sandown Lakeside,6,,YES,YES,https://www.racing.com/form/2026-05-31/sportsbet-sandown-lakeside/race/6/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_fc22a6003accd196b5.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
RACING.COM,getRaceForm retained local payload,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R07,2026-05-31|SPORTSBET SANDOWN LAKESIDE|R07,2026-05-31,Sportsbet Sandown Lakeside,7,,YES,YES,https://www.racing.com/form/2026-05-31/sportsbet-sandown-lakeside/race/7/speed-data,outputs/sectionals/raw/VIC/racingcom_full_payloads/getRaceForm_1b68a9c517797c10bc.json,LOCAL_GOVERNED_EVIDENCE_DIRECT_PUBLIC_NOT_CONFIRMED
